"nombre";"descripcion";"precio_unitario";"marca";"categoria"
"VEST. ELAGANTE LISTADO CHALICEN. C/VARIOS: 2T-4T";;"144.00";"CHALICEN";"VESTIDOS TELA"
"VEST. ELEGANTE LISTADO. C/VARIOS: 6T";;"152.00";"CHALICEN";"VESTIDOS TELA"
"VEST. ELEGANTE LISTADO. C/VARIOS: 8T-12T";;"159.00";"CHALICEN";"VESTIDOS TELA"
"VEST. ELEGANTE LAZOS. C/VARIOS: 2T -4T";;"144.00";"CHALICEN";"VESTIDOS TELA"
"VEST. ELEGANTE LAZOS. C/VARIOS: 6T-8T";;"152.00";"CHALICEN";"VESTIDOS TELA"
"VEST. ELEGANTE LAZOS. C/VARIOS: 1OT-12T";;"159.00";"CHALICEN";"VESTIDOS TELA"
"VEST. ELEGANTE MARIPOSAS. C/VARIOS: 4T-8T";;"168.00";"CHALICEN";"VESTIDOS TELA"
"VEST. ELEGANTE MARIPOSAS. C/VARIOS: 10T-12T";;"174.00";"CHALICEN";"VESTIDOS TELA"
"CAMISA LINO C/DISEÑO. C/VARIOS: 18M-36M";;"57.00";"CHALICEN";"CAMISA"
"CAMISA LINO C/DISEÑO. C/VARIOS: 4T-8T";;"61.00";"CHALICEN";"CAMISA"
"CAMISA LINO C/DISEÑO. C /VARIOS:10T";;"62.00";"CHALICEN";"CAMISA"
"BOLERO C/BOBO. C/VARIOS: 18M-36M";;"71.00";"CHALICEN";"BOLERO "
"BOLERO C/BOBO. C/VARIOS:4T-8T";;"79.00";"CHALICEN";"BOLERO "
"BOLERO C/BOBO. C/VARIOS: 10T-12T";;"85.00";"CHALICEN";"BOLERO "
"VEST. CASUAL C/CORREA CHALICEN. C/VARIOS: 2T-8T";;"138.00";"CHALICEN";"VESTIDOS TELA"
"VEST. CASUAL C/CORREA CHALICEN C/VARIOS: 1OT-14T";;"144.00";"CHALICEN";"VESTIDOS TELA"
"VEST. LINO FLORES CHALICEN. C/VARIOS: 12M-36M";;"129.00";"CHALICEN";"VESTIDOS TELA"
"VEST. LINO FLORES CHALICEN C/VARIOS: 4T-8T";;"138.00";"CHALICEN";"VESTIDOS TELA"
"VEST. LINO FLORES CHALICEN C/VARIOS: 10T 14T";;"144.00";"CHALICEN";"VESTIDOS TELA"
"CONJ. AROUND THE WORLD C/VARIOS:12M-36M";;"109.00";"CHALICEN";"CONJUNTO"
"CONJ.AROUND THE WORLD C/VARIOS: 4T -6T";;"115.00";"CHALICEN";"CONJUNTO"
"POLO LIFE  IS BETTER IN SUMMER  C/VARIOS: 2T-4T";;"45.00";"CHALICEN";"POLOS"
"POLO LIFE IS BETTER  IN SUMMER C/VARIOS: 6T-10T";;"48.00";"CHALICEN";"POLOS"
"PANT. ÑO DENIM DEXTER MUQUIS : 4T-10T";;"140.00";"MUQUIS";"PANTALON JEAN"
"PANT.ÑO DENIM DEXTER MUQUIS : 12T-18T";;"144.00";"MUQUIS";"PANTALON JEAN"
"BERMUDA ÑO FANTASIA GERALD MUQUIS: 4T-10T";;"95.00";"MUQUIS";"BERMUDA JEANS"
"BERMUDA ÑO FANTASIA GERALD MUQUIS: 12T-18T";;"99.00";"MUQUIS";"BERMUDA JEANS"
"OVEROL SHORT DRILL BABY LUPER ";;"60.00";"LUPER";"OVEROL DRILL"
"JAMPER DENIM PIO LUPER: 2T-8T";;"60.00";"LUPER";"JAMPER JEAN"
"FALDA SHORT DRILL LUPER : 1OT-14T";;"70.00";"LUPER";"SHORT DRILL"
"FALDA SHORT DRILL LUPER :T16";;"75.00";"LUPER";"SHORT DRILL"
"Y2896, PANT DRILL YOSHIRO BB ÑO: 3BB-6BB";;"58.00";"YOSHIRO";"PANTALON DRILL"
"Y2850, PANT JEAN YOSHIRO BB ÑO: 3BB-6BB";;"60.00";"YOSHIRO";"PANTALON JEAN"
"Y2851, PANT JEAN YOSHIRO BB ÑO:4BB-6BB";;"60.00";"YOSHIRO";"PANTALON JEAN"
"Y2892, JOGGER PPT BB YOSHIRO ÑO:2BB-6BB";;"54.00";"YOSHIRO";"JOGGER DRILL"
"Y2920, PANT JEAN SEMIPIT YOSHIRO: 16T-18T";;"76.00";"YOSHIRO";"PANTALON JEAN"
"Y2920, PANT JEAN SEMIPIT YOSHIRO:10T-12T";;"72.00";"YOSHIRO";"PANTALON JEAN"
"Y2920, PANT JEAN SEMIPIT YOSHIRO: 8T";;"70.00";"YOSHIRO";"PANTALON JEAN"
"Y2747, OVEROL CORTO JEAN YOSHIRO: 18M-36M";;"54.00";"YOSHIRO";"OVEROL JEAN"
"Y2878, BER ELAST PPT YOSHIRO: 18M-36M";;"50.00";"YOSHIRO";"BERMUDA DRILL"
"Y2877, BER ELAST PPT ÑO YOSHIRO: 16T-18T";;"62.00";"YOSHIRO";"BERMUDA DRILL"
"Y2877, BER ELAST PPT ÑO YOSHIRO: 10T-14T";;"58.00";"YOSHIRO";"BERMUDA DRILL"
"Y2877,BER ELAST PPT ÑO YOSHIRO: 6T-8T";;"56.00";"YOSHIRO";"BERMUDA DRILL"
"Y2876, PANT JEAN YOSHIRO: 6T-8T";;"70.00";"YOSHIRO";"PANTALON JEAN"
"Y2876, PANT JEAN YOSHIRO: 10T-14T";;"72.00";"YOSHIRO";"PANTALON JEAN"
"Y2876, PANT JEAN YOSHIRO: 16T-18T";;"76.00";"YOSHIRO";"PANTALON JEAN"
"Y2895, PANT DRILL BB ÑO YOSHIRO:2BB-6BB";;"58.00";"YOSHIRO";"PANTALON DRILL"
"Y2874, PANT JEAN YOSHIRO: 8T";;"70.00";"YOSHIRO";"PANTALON JEAN"
"Y2874, PANT JEAN YOSHIRO: 10T-12T";;"72.00";"YOSHIRO";"PANTALON JEAN"
"Y2874, PANT JEAN YOSHIRO: 16T-18T";;"76.00";"YOSHIRO";"PANTALON JEAN"
"Y2879, PANT JEAN YOSHIRO: 6T-8T";;"70.00";"YOSHIRO";"PANTALON JEAN"
"Y28790, PANT JEAN YOSHIRO: 10T-14T";;"72.00";"YOSHIRO";"PANTALON JEAN"
"Y2879, PANT JEAN YOSHIRO: 16T-18T";;"76.00";"YOSHIRO";"PANTALON JEAN"
"Y2834, PANT JEAN BB  YOSHIRO: 4BB-8BB";;"60.00";"YOSHIRO";"PANTALON JEAN"
"Y2833, PANT JEAN BB YOSHIRO: 4BB-8BB";;"60.00";"YOSHIRO";"PANTALON JEAN"
"Y2897, PANT PALAZO JEAN ÑA YOSHIRO: 10T-14T";;"66.00";"YORYAN";"PANTALON JEAN"
"Y2897, PANTR PALAZO JEAN ÑA YOSHIRO: 16T-18T";;"70.00";"YOSHIRO";"PANTALON JEAN"
"Y2907, PANT DRILL ÑO YOSHIRO: 6T-8T";;"70.00";"YOSHIRO";"PANTALON DRILL"
"Y2907, PANT DRILL ÑO YOSHIRO:10T-14T";;"72.00";"YOSHIRO";"PANTALON DRILL"
"Y2907, PANT DRILL ÑO YOSHIRO: 16T-18T";;"76.00";"YOSHIRO";"PANTALON DRILL"
"Y2630, PANT JEAN ÑO YOSHIRO: 8T";;"70.00";"YOSHIRO";"PANTALON JEAN"
"Y2630, PANT JEAN ÑO YOSHIRO: 10T-12T";;"72.00";"YOSHIRO";"PANTALON JEAN"
"Y2630, PANT JEAN ÑO YOSHIRO: 16T";;"76.00";"YOSHIRO";"PANTALON JEAN"
"PANT. ÑA JEANS PITILLO RISMAR  T: 6-16";;"53.00";"RISMAR";"PANTALON JEAN"
"SHORT JEANS ÑA RISMAR T:6-16";;"53.00";"RISMAR";"SHORT JEANS"
